,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
58,$AAPL right back to previous ATH in upper 156's wow,FALSE,0,,02-08-2017 14:22,FALSE,,8.92753E+17,,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",Trading4_Living,0,FALSE,FALSE,,
59,"With $AAPL behind us, focus turns to TSLA, with hopes of more insight into the companyâs delivery schedule.â¦ https://t.co/AjCGSNzLt0",FALSE,2,,02-08-2017 14:22,TRUE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TDAJJKinahan,2,FALSE,FALSE,,
60,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:22,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BoozOneTJ,708,TRUE,FALSE,,
61,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:22,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",nyec_md,708,TRUE,FALSE,,
62,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:22,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Hyperrealiy3t03,708,TRUE,FALSE,,
63,"RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy: 

Uber
Tesla
Netflix
Airbnb
Twitter

...and still have $29 billion left. $Aâ¦",FALSE,0,,02-08-2017 14:22,FALSE,,8.92752E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NasirBalarabe,1254,TRUE,FALSE,,
64,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:22,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",eDsignCuisine,708,TRUE,FALSE,,
65,"RT @williamlegate: Apple / $AAPL is currently sitting on $261.5 billion in CASH.
The United States Federal Reserve has ""just"" $189 billion.",FALSE,0,,02-08-2017 14:22,FALSE,,8.92752E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fawa22,67,TRUE,FALSE,,
66,"$AAPL Apple takes Dow over 22,000 points; other stocks are mixed https://t.co/4LakNvajkF",FALSE,0,,02-08-2017 14:22,FALSE,,8.92752E+17,,"<a href=""http://finzine.com"" rel=""nofollow"">Finzine</a>",finzine,0,FALSE,FALSE,,
67,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:22,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HermanMunster58,708,TRUE,FALSE,,
68,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BoydEmmlnaeu,708,TRUE,FALSE,,
69,"RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy all:

NFL teams í ¼í¿
NBA teams í ¼í¿
MLB teams â¾ï¸
NHL teams í ¼í¿

and still have $75Bâ¦",FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lappalaispete,323,TRUE,FALSE,,
70,"RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy: 

Uber
Tesla
Netflix
Airbnb
Twitter

...and still have $29 billion left. $Aâ¦",FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jide6carlos,1254,TRUE,FALSE,,
71,$AAPL You could be right but it will not happen fast unless Trump attacks S K then i agree https://t.co/AKtVcZsHqG,FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",StevePTrading,0,FALSE,FALSE,,
72,"RT @vindugoel: Analyst asks @tim_cook about the 3 factories. He ducks, talks about 2 million U.S. jobs Apple created, including developers,â¦",FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TechNewsDC,2,TRUE,FALSE,,
73,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",catsbecye,708,TRUE,FALSE,,
74,Power of the #BlueTextBoxes - #iPhone $AAPL #iMessage https://t.co/v89lLgJBNm,FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mjuan91,0,FALSE,FALSE,,
75,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AHISolutnsio,708,TRUE,FALSE,,
76,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JonesRealotCy,708,TRUE,FALSE,,
77,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",d7ccoeyg,708,TRUE,FALSE,,
78,"RT @OphirGottlieb: https://t.co/UDV2X6g8EO
Apple hits record high, powers Dow past 22,000
-
$AAPL",FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",5150CENT,2,TRUE,FALSE,,
79,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:21,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abrnesip,708,TRUE,FALSE,,
80,RT @option_snipper: $aapl sep15 160c now at 3.25  oct20  160c now at 4.94  - these are perfect examples of using 20/80 rule to leverage onâ¦,FALSE,0,,02-08-2017 14:20,FALSE,,8.92752E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",andrewd173,1,TRUE,FALSE,,
